#DeCS_code	Term_Spanish	Term_English	MeSH_code	Synonyms
2	temefós	Temefos	D000002	-
3	mataderos	Abattoirs	D000003	Desolladero|Desolladeros|Matadero
4	abreviaturas como asunto	Abbreviations as Topic	D000004	Abreviatura de los Medicamentos|Abreviaturas como Tema|Acrónimos como Asunto|Acrónimos como Tema
5	abdomen	Abdomen	D000005	-
6	abdomen agudo	Abdomen, Acute	D000006	abdomen en tabla
7	traumatismos abdominales	Abdominal Injuries	D000007	lesiones abdominales
8	neoplasias abdominales	Abdominal Neoplasms	D000008	tumores abdominales|tumores del abdomen
10	nervio abducens	Abducens Nerve	D000010	Nervio Craneal VI|VI nervio craneal|VI par craneal|nervio abducente|nervio motor ocular externo|sexto nervio craneal
11	virus de la leucemia murina de Abelson	Abelson murine leukemia virus	D000011	virus de la leucemia de Abelson
12	abetalipoproteinemia	Abetalipoproteinemia	D000012	Deficiencia de Proteína de Transferencia de Triglicéridos Microsómicos|Enfermedad por Deficiencia de la Proteína de Transferencia de Trigliceridos Microsómicos|enfermedad por deficiencia de betalipoproteína|enfermedad por deficiencia de la proteína de transferencia de triglicéridos microsómicos|síndrome de Bassen-Kornzweig
14	anomalías congénitas	Congenital Abnormalities	D000013	Anomalía Congénita|Malformaciones Congénitas|defectos congénitos|defectos de nacimiento|deformidades|malformaciones
15	anomalías inducidas por medicamentos	Abnormalities, Drug-Induced	D000014	anomalías inducidas por drogas|anomalías inducidas por sustancias medicamentosas|malformaciones inducidas por drogas|malformaciones inducidas por medicamentos|malformaciones inducidas por sustancias medicamentosas
16	anomalías múltiples	Abnormalities, Multiple	D000015	malformaciones múltiples
17	anomalías inducidas por radiaciones	Abnormalities, Radiation-Induced	D000016	anomalía inducida por radiación|anomalías inducidas por radiación|malformaciones inducidas por radiación|malformación inducida por radiación
19	sistema del grupo sanguíneo ABO	ABO Blood-Group System	D000017	factores ABO|grupo sanguíneo ABH
20	abomaso	Abomasum	D000018	cuajar
