lil-218366	en	Extracts from thirteen species of plants were evaluated by(r)in vivo(r)antimalarial test against plasmodium berghei effects. Significant activities were observed in the ethyl acetate and aqueous extracts, elaborated of Cedrela tonduzii leaves, Trichilia havanensis and Trichilia americana barks, Neurolaena lobata and liricidia sepium leaves and Duranta repens fruits. Compounds identified include flavanoids, coumarins, mellilotic acid and iridoids which some kind of biodynamic activity has previously been reported. The flavone uercetin 1 purified from C. tonduzii gave strong antimalarial activity, however, its respective glucosides (quercetin 3-glucoside 2 y robinine 7) showed little significant activity
ibc-154518	it	No disponible
ibc-154519	it	No disponible
ibc-154520	it	No disponible
ibc-154521	it	No disponible
ibc-154522	it	No disponible
ibc-154523	it	No disponible
ibc-154524	it	No disponible
ibc-154525	it	No disponible
ibc-154526	it	No disponible
ibc-154527	it	No disponible
ibc-154528	it	No disponible
ibc-154529	it	No disponible
ibc-154530	it	No disponible
ibc-154531	it	No disponible
ibc-154532	it	No disponible
ibc-154533	it	No disponible
ibc-154573	it	No disponible
ibc-154575	it	No disponible
ibc-154576	it	No disponible
ibc-154577	it	No disponible
ibc-154578	it	No disponible
ibc-154579	it	No disponible
ibc-154580	it	No disponible
ibc-154581	it	No disponible
ibc-154582	it	No disponible
ibc-154583	it	No disponible
ibc-154584	it	No disponible
ibc-154585	it	No disponible
ibc-154586	it	No disponible
ibc-154587	it	No disponible
ibc-154591	it	No disponible
ibc-154592	it	No disponible
ibc-154595	it	No disponible
ibc-154596	it	No disponible
ibc-154597	it	No disponible
ibc-154598	it	No disponible
ibc-154599	it	No disponible
ibc-154600	it	No disponible
ibc-154601	it	No disponible
ibc-154602	it	No disponible
ibc-154603	it	No disponible
ibc-154612	it	No disponible
ibc-154613	it	No disponible
ibc-154614	it	No disponible
ibc-155927	it	No disponible
biblio-904684	null	Resumen  Introducción: El síndrome de Burnout es descrito como una inadecuada forma de afrontar el estrés laboral, los rasgos principales son el agotamiento emocional, la despersonalización y disminución del desempeño personal.  Objetivo:  Determinar la prevalencia del Síndrome de Burnout en los profesionales de enfermería que laboran en la Orinoquia colombiana.  Materiales y métodos:  Se realizó un estudio analítico transversal, muestreo por intención, la población de estudio estuvo constituida por 100 enfermeros, se utilizó el instrumento de Maslach Burnout. Se calcularon medidas de resumen, prevalencia y razón de prevalencia, con el programa SPSS.  Resultados: El 90% de la muestra estudiada eran mujeres, 53% solteros, 54% menores de 28 años y 42% sin hijos. La prevalencia general del síndrome de Burnout fue de 16%, en el área de atención hospitalaria fue de un 25,5% y en áreas diferentes a esta fue 6,1%; en el área hospitalaria se presentaron mayores proporciones en cansancio emocional 42%, despersonalización emocional 38%, falta de realización personal 30%, se encontró diferencias estadísticamente significativas para la prevalencia del síndrome de Burnout en el área de atención hospitalaria (RP 4,2, IC95% 1,3-13,7, P 0,008), para profesionales menores de 28 años (RP 3,7 IC95% 1,1- 12,1, P 0,017).  Conclusiones: La prevalencia del síndrome de Burnout es mayor en enfermeros del área hospitalaria, tener menos de 28 años se asoció a una mayor prevalencia, los enfermeros clasificados como enfermos con síndrome de Burnout debían cuidar un mayor número de pacientes en su jornada laboral.
